Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1,Counties,New York Zip Codes,NYS Municipal Boundaries
GREAT BEND FIRE DEPARTMENT,23024,32768 NYS RTE 26,GREAT BEND,NY,13643,23,Jefferson,3154932258,44.03381,-75.71935,"{'longitude': '-75.71935', 'latitude': '44.03381'}",2089,1480,856
GREAT NECK ALERT FIRE DEPT,30023,555 MIDDLE NECK ROAD,GREAT NECK,NY,11023,30,Nassau,5164871057,40.801145,-73.735008,"{'longitude': '-73.735008', 'latitude': '40.801145'}",2094,866,67
GREAT NECK VIGILANT FIRE DEPT,30024,83 CUTTER MILL ROAD,GREAT NECK,NY,11021,30,Nassau,5164871086,40.785103,-73.731878,"{'longitude': '-73.731878', 'latitude': '40.785103'}",2094,865,67
GREAT RIVER FIRE DEPARTMENT,52042,PO BOX 664,GREAT RIVER,NY,11739,52,Suffolk,6312775837,40.72449,-73.16159,"{'longitude': '-73.16159', 'latitude': '40.72449'}",2179,1117,
GREAT VALLEY FIRE DEPARTMENT,05011,5099 RT 219,GREAT VALLEY,NY,14741,05,Cattaraugus,,42.216861,-78.63805,"{'longitude': '-78.63805', 'latitude': '42.216861'}",2034,1719,364
GREENE FIRE DEPARTMENT,09009,8 NORTH CANAL STREET,GREENE,NY,13778,09,Chenango,6076569724,42.330905,-75.77073,"{'longitude': '-75.77073', 'latitude': '42.330905'}",2037,393,276
GREENFIELD FIRE DEPARTMENT,46011,SOUTH GREENFIELD ROAD,GREENFIELD CENTER,NY,12833,46,Saratoga,5188937360,43.095757,-73.862456,"{'longitude': '-73.862456', 'latitude': '43.095757'}",2141,132,
GREEN ISLAND FIRE DEPARTMENT,01013,7  CLINTON STREET,GREEN ISLAND,NY,12183,01,Albany,5182731041,42.742022,-73.692784,"{'longitude': '-73.692784', 'latitude': '42.742022'}",2030,13,807
GREENLAWN FIRE DEPARTMENT,52043,23 BOULEVARD STREET,GREENLAWN,NY,11740,52,Suffolk,6312619103,40.869491,-73.363536,"{'longitude': '-73.363536', 'latitude': '40.869491'}",2179,1118,
GREENPORT FIRE DEPARTMENT,52044,THIRD STREET PO BOX 58,GREENPORT,NY,11944,52,Suffolk,6314779801,41.10189,-72.3673,"{'longitude': '-72.3673', 'latitude': '41.10189'}",2179,1603,
GREENPORT FIRE DEPARTMENT,11015,129 MIDDLE ROAD,HUDSON,NY,12534,11,Columbia,5188281719,42.24822,-73.77092,"{'longitude': '-73.77092', 'latitude': '42.24822'}",619,977,515
GREENVILLE FIRE DEPARTMENT,20011,5124 RT 81 PO BOX 296,GREENVILLE,NY,12083,20,Greene,5189668911,42.43031,-74.01438,"{'longitude': '-74.01438', 'latitude': '42.43031'}",2087,1228,772
GREENVILLE FIRE DEPARTMENT,36015,1 FIREHOUSE ROAD,PORT JERVIS,NY,12771,36,Orange,8458584114,41.370066,-74.615546,"{'longitude': '-74.615546', 'latitude': '41.370066'}",2134,1091,876
GREENVILLE FIRE DEPARTMENT,60018,711 CENTRAL AVENUE,SCARSDALE,NY,10583,60,Westchester,9147233430,41.002201,-73.814263,"{'longitude': '-73.814263', 'latitude': '41.002201'}",2185,1343,986
GREENWICH VOLUNTEER FIRE DEPT,58009,6 ACADEMY STREET,GREENWICH,NY,12834,58,Washington,5186929002,43.091741,-73.502613,"{'longitude': '-73.502613', 'latitude': '43.091741'}",2184,96,664
GREENWOOD LAKE FIRE DEPARTMENT,36017,51 WATERSTONE RD PO BX 1388,GREENWOOD LAKE,NY,10925,36,Orange,8454772236,41.222363,-74.292795,"{'longitude': '-74.292795', 'latitude': '41.222363'}",2134,1505,886
GREENWOOD VOLUNTEER FIRE DEPT,51020,PO BOX 977,GREENWOOD,NY,14839,51,Steuben,6076612769,42.13273,-77.635,"{'longitude': '-77.635', 'latitude': '42.13273'}",2178,1778,37
GROTON FIRE DEPARTMENT,55008,108 CORTLAND ST PO BOX 96,GROTON,NY,13073,55,Tompkins,6078983135,42.590655,-76.367679,"{'longitude': '-76.367679', 'latitude': '42.590655'}",2181,626,720
GROVELAND FIRE DEPARTMENT,26009,7428 ROUTE 63,GROVELAND,NY,14462,26,Livingston,5852431441,42.66141,-77.76671,"{'longitude': '-77.76671', 'latitude': '42.66141'}",2091,234,757
GUILDERLAND CENTER FIRE DEPT,01015,30 SCHOOL ROAD,GUILDERLAND CENTER,NY,12085,01,Albany,5188618871,42.701834,-73.966158,"{'longitude': '-73.966158', 'latitude': '42.701834'}",2030,1142,806
GUILDERLAND FIRE DEPARTMENT,01014,2303 WESTERN AVE,GUILDERLAND,NY,12084,01,Albany,5184565000,42.703916,-73.91061,"{'longitude': '-73.91061', 'latitude': '42.703916'}",2030,1229,806
GUILFORD FIRE DEPARTMENT,09008,110 MECHANIC STREET,GUILFORD,NY,13780,09,Chenango,6078956814,42.404721,-75.491374,"{'longitude': '-75.491374', 'latitude': '42.404721'}",2037,394,111
HAGAMAN FIRE DEPARTMENT,29014,21 HAGAMAN AVE,HAGAMAN,NY,12086,29,Montgomery,5188423641,42.974808,-74.151241,"{'longitude': '-74.151241', 'latitude': '42.974808'}",624,1231,499
HAGERMAN FIRE DEPARTMENT,52046,510 OAKDALE AVENUE,EAST PATCHOGUE,NY,11772,52,Suffolk,6316542790,40.76273,-72.96543,"{'longitude': '-72.96543', 'latitude': '40.76273'}",2179,1322,
HAGUE VOLUNTEER FIRE DEPARTMENT,57008,4 WEST HAGUE RD PO BOX 585,HAGUE,NY,12836,57,Warren,5185436059,43.755131,-73.509969,"{'longitude': '-73.509969', 'latitude': '43.755131'}",2183,98,833
HAINES FALLS FIRE DEPARTMENT,20012,PO BOX 233,HAINES FALLS,NY,12436,20,Greene,5185895138,42.19736,-74.09495,"{'longitude': '-74.09495', 'latitude': '42.19736'}",2087,187,769
HALCOTTSVILLE FIRE DEPARTMENT,13016,369 HALCOTTSVILLE ROAD,HALCOTTSVILLE,NY,12438,13,Delaware,6073264244,42.207535,-74.601132,"{'longitude': '-74.601132', 'latitude': '42.207535'}",2039,188,570
HALESITE FIRE DEPARTMENT,52047,1 NORTH NEW YORK AVENUE,HALESITE,NY,11743,52,Suffolk,6314271910,40.882527,-73.41983,"{'longitude': '-73.41983', 'latitude': '40.882527'}",2179,1120,
HALFMOON FIRE DEPARTMENT,46013,PO BOX 276,WATERFORD,NY,12188,46,Saratoga,5183717571,42.80262,-73.69093,"{'longitude': '-73.69093', 'latitude': '42.80262'}",2141,18,991
HALL FIRE DEPARTMENT,35013,4852 MAIN STREET PO BOX 8,HALL,NY,14463,35,Ontario,5855265944,42.7937,-77.06879,"{'longitude': '-77.06879', 'latitude': '42.7937'}",2133,233,803
HALSEY VALLEY FIRE DEPARTMENT,54005,506 HAMILTON VALLEY ROAD,SPENCER,NY,14883,54,Tioga,6075894695,42.141212,-76.440945,"{'longitude': '-76.440945', 'latitude': '42.141212'}",630,914,56
HAMBURG FIRE DEPARTMENT,15038,301 UNION STREET PO BOX 82,HAMBURG,NY,14075,15,Erie,7166491753,42.71743,-78.839005,"{'longitude': '-78.839005', 'latitude': '42.71743'}",2041,527,297
HAMILTON FIRE DEPARTMENT,27011,121 LEBANON STREET,HAMILTON,NY,13346,27,Madison,3158242460,42.822507,-75.550778,"{'longitude': '-75.550778', 'latitude': '42.822507'}",2092,557,145
HAMLIN FIRE DEPARTMENT,28018,1503 LAKE RD PO BOX 39,HAMLIN,NY,14464,28,Monroe,7169642330,43.301674,-77.921046,"{'longitude': '-77.921046', 'latitude': '43.301674'}",2093,235,554
HAMMOND FIRE DEPARTMENT,45012,LAKE STREET PO BOX 202,HAMMOND,NY,13646,45,St. Lawrence,3153246666,44.448869,-75.693518,"{'longitude': '-75.693518', 'latitude': '44.448869'}",2140,1527,336
HAMMONDSPORT VOLUNTEER FIRE DEPT,51021,PO BOX 337,HAMMONDSPORT,NY,14840,51,Steuben,6075692167,42.401361,-77.216476,"{'longitude': '-77.216476', 'latitude': '42.401361'}",2178,1779,25
HAMPTON BAYS FIRE COMPANY,52048,69 WEST MONTAUK HIGHWAY,HAMPTON BAYS,NY,11946,52,Suffolk,6317289191,40.87679,-72.5262,"{'longitude': '-72.5262', 'latitude': '40.87679'}",2179,1604,
HAMPTON FIRE DEPARTMENT,58011,2520 COUNTY RTE 18,HAMPTON,NY,12837,58,Washington,5182829265,43.49547,-73.2533,"{'longitude': '-73.2533', 'latitude': '43.49547'}",2184,99,663
HANCOCK FIRE DEPARTMENT,13017,24501 ST HWY 97 PO BOX 883,HANCOCK,NY,13783,13,Delaware,,41.944151,-75.273624,"{'longitude': '-75.273624', 'latitude': '41.944151'}",2039,396,552
HANKINS FIRE DISTRICT,53008,20 NEWMAN HILL RD POB 164,HANKINS,NY,12741,53,Sullivan,8458872028,41.82761,-75.08779,"{'longitude': '-75.08779', 'latitude': '41.82761'}",2180,1051,672
HANNAWA FALLS VOL FIRE DEPT,45013,PO BOX 39,HANNAWA FALLS,NY,13647,45,St. Lawrence,3152654161,44.61441,-74.96648,"{'longitude': '-74.96648', 'latitude': '44.61441'}",2140,1597,320
HANNIBAL FIRE DEPARTMENT,38012,155 OSWEGO ST  PO BOX 252,HANNIBAL,NY,13074,38,Oswego,3155645601,43.322818,-76.577634,"{'longitude': '-76.577634', 'latitude': '43.322818'}",2135,627,255
HANOVER FIRE DEPARTMENT,07042,11919 HANOVER ROAD,SILVER CREEK,NY,14136,07,Chautauqua,7169347389,42.517845,-79.131708,"{'longitude': '-79.131708', 'latitude': '42.517845'}",2035,2,237
HARFORD FIRE DEPARTMENT,12004,760 RTE 221 PO BOX 7,HARFORD,NY,13784,12,Cortland,6078449200,42.42608,-76.22654,"{'longitude': '-76.22654', 'latitude': '42.42608'}",620,397,779
HARMONY CORNERS FIRE DEPARTMENT,46014,1954 AMSTERDAM RD (NYRT 67),BALLSTON SPA,NY,12020,46,Saratoga,5188821091,42.978251,-73.951122,"{'longitude': '-73.951122', 'latitude': '42.978251'}",2141,1148,
HARPURSVILLE FIRE DEPARTMENT,04015,2 MAIN STREET PO BOX 98,HARPURSVILLE,NY,13787,04,Broome,6076931454,42.178566,-75.624686,"{'longitude': '-75.624686', 'latitude': '42.178566'}",2033,399,968
HARRIMAN ENGINE COMPANY NO 1,36018,PO BOX 104  2 S MAIN STREET,HARRIMAN,NY,10926,36,Orange,9147831120,41.309637,-74.150364,"{'longitude': '-74.150364', 'latitude': '41.309637'}",2134,1506,872
HARRIS CORNERS FIRE DEPARTMENT,61010,PO BOX 121,STRYKERSVILLE,NY,14145,61,Wyoming,,42.769716,-78.445068,"{'longitude': '-78.445068', 'latitude': '42.769716'}",2186,7,397
HARRIS HILL FIRE DEPARTMENT,15039,8630 MAIN STREET,WILLIAMSVILLE,NY,14221,15,Erie,7166321199,42.965329,-78.67162,"{'longitude': '-78.67162', 'latitude': '42.965329'}",2041,110,301
HARRISON FIRE DEPARTMENT,60019,206 HARRISON AVENUE,HARRISON,NY,10528,60,Westchester,9148351106,40.967131,-73.712488,"{'longitude': '-73.712488', 'latitude': '40.967131'}",2185,1249,985
HARRISVILLE FIRE DEPARTMENT,25007,PO BOX 51,HARRISVILLE,NY,13648,25,Lewis,3155432833,44.152225,-75.320459,"{'longitude': '-75.320459', 'latitude': '44.152225'}",623,1574,629
HARTFIELD FIRE DEPARTMENT,07022,PO BOX 182  6078 ELMWOOD RD,MAYVILLE,NY,14757,07,Chautauqua,7167532459,42.24224,-79.49711,"{'longitude': '-79.49711', 'latitude': '42.24224'}",2035,1731,213
HARTFORD VOLUNTEER FIRE COMPANY,58012,PO BOX 121,HARTFORD,NY,12839,58,Washington,5186325299,43.34528,-73.40523,"{'longitude': '-73.40523', 'latitude': '43.34528'}",2184,100,662
HARTLAND FIRE DEPT,32033,8945 RIDGE ROAD,GASPORT,NY,14067,32,Niagara,7167353283,43.242525,-78.532766,"{'longitude': '-78.532766', 'latitude': '43.242525'}",2131,522,186
HARTSDALE FIRE DEPARTMENT,60020,300 WEST HARTSDALE AVENUE,HARTSDALE,NY,10530,60,Westchester,9149492325,41.02513,-73.806901,"{'longitude': '-73.806901', 'latitude': '41.02513'}",2185,1250,986
HARTWICK FIRE DEPARTMENT (NO 1),39008,3088 CO HWY 11 PO BOX 86,HARTWICK,NY,13348,39,Otsego,6072937741,42.69597,-75.06381,"{'longitude': '-75.06381', 'latitude': '42.69597'}",2136,558,904
HARTWICK SEMINARY FIRE DEPT(NO2),39009,4877 ST HWY 28,COOPERSTOWN,NY,13326,39,Otsego,6075478091,42.70236,-74.92502,"{'longitude': '-74.92502', 'latitude': '42.70236'}",2136,540,904
HASTINGS-ON-HUDSON FIRE DEPT,60021,7 MAPLE AVE,HASTINGS-ON-HUDSON,NY,10706,60,Westchester,9144781322,40.93259,-73.894183,"{'longitude': '-73.894183', 'latitude': '40.93259'}",2185,1441,950
HASTINGS VOLUNTEER FIRE DEPT,38011,PO BOX 241,HASTINGS,NY,13076,38,Oswego,3156257592,43.3454,-76.15241,"{'longitude': '-76.15241', 'latitude': '43.3454'}",2135,628,256
HAUPPAUGE VOLUNTEER FIRE DEPT,52049,855 WHEELER ROAD,HAUPPAUGE,NY,11788,52,Suffolk,6312652499,40.824009,-73.205682,"{'longitude': '-73.205682', 'latitude': '40.824009'}",2179,1428,
HAVERSTRAW FIRE DEPARTMENT,44004,25 FAIRMOUNT AVENUE,HAVERSTRAW,NY,10927,44,Rockland,8454290300,41.196363,-73.966849,"{'longitude': '-73.966849', 'latitude': '41.196363'}",628,1507,537
HAWTHORNE FIRE DISTRICT,60022,25 HOME STREET PO BOX 211,HAWTHORNE,NY,10532,60,Westchester,9147692871,41.103746,-73.794367,"{'longitude': '-73.794367', 'latitude': '41.103746'}",2185,1251,967
H D LANE FIRE DEPARTMENT,20006,26 BEECHER RD PO BOX 26,LANESVILLE,NY,12450,20,Greene,8456885290,42.120711,-74.270941,"{'longitude': '-74.270941', 'latitude': '42.120711'}",2087,198,769
HEBRON VOLUNTEER FIRE CO,58022,3165 COUNTY ROUTE 30,SALEM,NY,12865,58,Washington,5186422028,43.19144,-73.33727,"{'longitude': '-73.33727', 'latitude': '43.19144'}",2184,146,730
HELENA VOLUNTEER FIRE DEPARTMENT,45014,PO BOX 85,HELENA,NY,13649,45,St. Lawrence,3157641166,44.92305,-74.72682,"{'longitude': '-74.72682', 'latitude': '44.92305'}",2140,1474,346
HEMLOCK FIRE DEPARTMENT,26010,4698 MAIN STREET BOX 101,HEMLOCK,NY,14466,26,Livingston,7163672730,42.77233,-77.56982,"{'longitude': '-77.56982', 'latitude': '42.77233'}",2133,236,804
HEMPSTEAD FIRE DEPARTMENT,30025,75 CLINTON ST  PO BOX 32,HEMPSTEAD,NY,11551,30,Nassau,5164786357,40.708471,-73.619305,"{'longitude': '-73.619305', 'latitude': '40.708471'}",2094,1456,54
HEMSTREET PARK FIRE DEPARTMENT,42014,133 S LINDEN ST PO BOX 667,MECHANICVILLE,NY,12118,42,Rensselaer,5186644249,42.91313,-73.70916,"{'longitude': '-73.70916', 'latitude': '42.91313'}",2141,1292,
HENDERSON FIRE DEPARTMENT,23025,8939 STATE RTE 178,HENDERSON,NY,13650,23,Jefferson,3159385032,43.845811,-76.181167,"{'longitude': '-76.181167', 'latitude': '43.845811'}",2089,1575,854
HENRIETTA FIRE DEPARTMENT,28019,850 BAILEY ROAD,WEST HENRIETTA,NY,14586,28,Monroe,7163341234,43.072675,-77.648556,"{'longitude': '-77.648556', 'latitude': '43.072675'}",2093,1682,553
HENSONVILLE HOSE FIRE DEPARTMENT,20013,BOX 121,HENSONVILLE,NY,12439,20,Greene,5187343844,42.30849,-74.19244,"{'longitude': '-74.19244', 'latitude': '42.30849'}",2087,943,763
HERKIMER FIRE DEPARTMENT,22010,125 N WASHINGTON STREET,HERKIMER,NY,13350,22,Herkimer,3158662242,43.027172,-74.985612,"{'longitude': '-74.985612', 'latitude': '43.027172'}",2088,559,695
HERMON FIRE DEPARTMENT,45015,PO BOX 177,HERMON,NY,13652,45,St. Lawrence,3153473706,44.465547,-75.230377,"{'longitude': '-75.230377', 'latitude': '44.465547'}",2140,1577,322
HEUVELTON FIRE DEPARTMENT,45016,95 STATE STREET,HEUVELTON,NY,13654,45,St. Lawrence,3153442426,44.6161,-75.403957,"{'longitude': '-75.403957', 'latitude': '44.6161'}",2140,1578,325
HEWLETT FIRE DEPARTMENT,30026,25 FRANKLIN AVENUE,HEWLETT,NY,11557,30,Nassau,5163749801,40.63661,-73.702898,"{'longitude': '-73.702898', 'latitude': '40.63661'}",2094,1461,54
HICKSVILLE FIRE DEPARTMENT,30027,20 EAST MARIE STREET,HICKSVILLE,NY,11801-4304,30,Nassau,5169336444,40.767786,-73.522391,"{'longitude': '-73.522391', 'latitude': '40.767786'}",2094,1489,66
HIGH FALLS FIRE DEPARTMENT,56016,PO BOX  415,HIGH FALLS,NY,12440,56,Ulster,,41.79729,-74.15739,"{'longitude': '-74.15739', 'latitude': '41.79729'}",2182,190,439
HIGHLAND FALLS VOL FIRE DEPT,36019,303 MAIN STREET,HIGHLAND FALLS,NY,10928,36,Orange,,41.36913,-73.966749,"{'longitude': '-73.966749', 'latitude': '41.36913'}",2134,1508,875
HIGHLAND HOSE COMPANY NO 1,56017,25 MILTON AVENUE PO BOX 872,HIGHLAND,NY,12528,56,Ulster,8456916248,41.717217,-73.963337,"{'longitude': '-73.963337', 'latitude': '41.717217'}",2182,972,441
HIGHLAND LAKE FIRE COMPANY,53009,144 HIGHLAND LAKE ROAD PO BOX 65,HIGHLAND LAKE,NY,12743,53,Sullivan,8455578788,41.52556,-74.8546,"{'longitude': '-74.8546', 'latitude': '41.52556'}",2180,1053,670
HILLBURN FIRE DEPARTMENT,44005,37 FIFTH STREET  PO BOX 66,HILLBURN,NY,10931,44,Rockland,8453691036,41.123822,-74.168866,"{'longitude': '-74.168866', 'latitude': '41.123822'}",628,1510,535
HILLCREST FIRE COMPANY NO 1,44006,300 NORTH MAIN STREET,SPRING VALLEY,NY,10977,44,Rockland,8453560347,41.128398,-74.040908,"{'longitude': '-74.040908', 'latitude': '41.128398'}",628,1560,535
HILLCREST FIRE DEPARTMENT,04016,1115 AVENUE B,BINGHAMTON,NY,13901,04,Broome,6077782110,42.14919,-75.883879,"{'longitude': '-75.883879', 'latitude': '42.14919'}",2033,475,948
HILLCREST FIRE DEPARTMENT,46015,145 PRYUN HILL ROAD,MECHANICVILLE,NY,12118,46,Saratoga,5186650086,42.897864,-73.717263,"{'longitude': '-73.717263', 'latitude': '42.897864'}",2141,1292,
HILLSDALE FIRE DEPARTMENT,11016,9387 STATE RTE 22,HILLSDALE,NY,12529,11,Columbia,5183253098,42.184355,-73.517719,"{'longitude': '-73.517719', 'latitude': '42.184355'}",619,973,517
HILLSIDE FIRE DEPARTMENT,14012,11 FOX HOLLOW RD,RHINEBECK,NY,12572,14,Dutchess,8458763307,41.892019,-73.910524,"{'longitude': '-73.910524', 'latitude': '41.892019'}",2040,1006,611
HILL TOP FIRE DEPARTMENT,18006,7770 ST HWY 29,DOLGEVILLE,NY,13329,18,Fulton,3154293211,43.1007,-74.77267,"{'longitude': '-74.77267', 'latitude': '43.1007'}",2088,543,690
HILTON FIRE DEPARTMENT,28020,120 OLD HOJACK LANE,HILTON,NY,14468,28,Monroe,7163928601,43.285366,-77.791548,"{'longitude': '-77.791548', 'latitude': '43.285366'}",2093,238,548
HIMROD FIRE DEPARTMENT,62006,3530 HIMROD ROAD,HIMROD,NY,14842,62,Yates,6072437520,42.592109,-76.955867,"{'longitude': '-76.955867', 'latitude': '42.592109'}",2225,1781,105
HINSDALE FIRE DEPARTMENT,05013,MAIN STREET,HINSDALE,NY,14743,05,Cattaraugus,7163734119,42.169456,-78.383949,"{'longitude': '-78.383949', 'latitude': '42.169456'}",2034,1721,363
HINSDALE FIRE DEPARTMENT,34018,113 MALDEN ROAD,MATTYDALE,NY,13211,34,Onondaga,3154552511,43.104317,-76.144665,"{'longitude': '-76.144665', 'latitude': '43.104317'}",2132,729,705
HOAGS CORNERS VOL FIRE DEPT,42015,7237 STATE ROUTE 66,EAST NASSAU,NY,12062,42,Rensselaer,5187665474,42.53562,-73.50999,"{'longitude': '-73.50999', 'latitude': '42.53562'}",2138,1187,135
HOBART FIRE DEPARTMENT,13018,80 CORNELL AVE PO BOX 237,HOBART,NY,13788,13,Delaware,6075389815,42.36078,-74.6398,"{'longitude': '-74.6398', 'latitude': '42.36078'}",2039,428,564
HOGANSBURG FIRE DEPARTMENT,17009,818 STATE RT 37 PO BOX 426,HOGANSBURG,NY,13655,17,Franklin,5183582161,44.97637,-74.65243,"{'longitude': '-74.65243', 'latitude': '44.97637'}",621,1579,189
HOLBROOK FIRE DEPARTMENT,52051,390 TERRY BOULEVARD,HOLBROOK,NY,11741,52,Suffolk,6315880099,40.79609,-73.073826,"{'longitude': '-73.073826', 'latitude': '40.79609'}",2179,1119,
HOLLAND FIRE DEPARTMENT,15043,49 N MAIN STREET PO BOX 610,HOLLAND,NY,14080,15,Erie,7165379568,42.641857,-78.543005,"{'longitude': '-78.543005', 'latitude': '42.641857'}",2041,528,296
HOLLAND PATENT FIRE DEPARTMENT,33015,PO BOX 12,HOLLAND PATENT,NY,13354,33,Oneida,3158658200,43.242471,-75.257263,"{'longitude': '-75.257263', 'latitude': '43.242471'}",625,562,993
HOLLEY FIRE DEPARTMENT,37006,7 THOMAS STREET,HOLLEY,NY,14470,37,Orleans,5856386884,43.224148,-78.02555,"{'longitude': '-78.02555', 'latitude': '43.224148'}",626,240,501
HOLTSVILLE FIRE DEPARTMENT,52052,1025 WAVERLY AVENUE,HOLTSVILLE,NY,11742,52,Suffolk,6314755238,40.815154,-73.044717,"{'longitude': '-73.044717', 'latitude': '40.815154'}",2179,1226,
HOMER FIRE DEPARTMENT,12005,45 SOUTH MAIN ST PO BOX 58,HOMER,NY,13077,12,Cortland,6077493121,42.635195,-76.178644,"{'longitude': '-76.178644', 'latitude': '42.635195'}",620,629,775
HONEOYE FALLS FIRE DEPARTMENT,28021,7 MONROE STREET,HONEOYE FALLS,NY,14472,28,Monroe,7166241100,42.953155,-77.591291,"{'longitude': '-77.591291', 'latitude': '42.953155'}",2093,242,549
HONEOYE FIRE DEPARTMENT,35014,PO BOX 469,HONEOYE,NY,14471,35,Ontario,7163673381,42.72754,-77.48391,"{'longitude': '-77.48391', 'latitude': '42.72754'}",2133,241,804
HOOSICK FALLS FIRE DEPARTMENT,42017,2 GRIFFIN AVE PO BOX 312,HOOSICK FALLS,NY,12090,42,Rensselaer,5186867427,42.892884,-73.350292,"{'longitude': '-73.350292', 'latitude': '42.892884'}",2138,1234,137
HOOSICK VOL FIRE COMPANY,42016,"664 SOUTH ST, PO BOX 167",HOOSICK,NY,12089,42,Rensselaer,5186867919,42.86246,-73.32497,"{'longitude': '-73.32497', 'latitude': '42.86246'}",2138,1233,137
HOOSIC VALLEY FIRE DEPARTMENT,42018,69 STILLWATER BRIDGE ROAD,SCHAGHTICOKE,NY,12154,42,Rensselaer,5187534664,42.906823,-73.590261,"{'longitude': '-73.590261', 'latitude': '42.906823'}",2138,1401,126
HOPE FIRE DEPARTMENT,21002,HC 1 RT 30,NORTHVILLE,NY,12134,21,Hamilton,5189242562,43.2268,-74.17638,"{'longitude': '-74.17638', 'latitude': '43.2268'}",2085,1302,387
HOPEWELL FIRE DEPARTMENT,35015,PO BOX 932,CANANDAIGUA,NY,14424,35,Ontario,7163947173,42.86943,-77.29118,"{'longitude': '-77.29118', 'latitude': '42.86943'}",2133,178,825
HOPKINTON-FORT JACKSON FIRE DEPT,45017,2876 STATE HIGHWAY 11B,HOPKINTON,NY,12965,45,St. Lawrence,3153284682,44.71094,-74.70737,"{'longitude': '-74.70737', 'latitude': '44.71094'}",2140,288,333
HORICON VOLUNTEER FIRE DEPT,57009,6590 STATE RT 8 PO BOX 120,BRANT LAKE,NY,12815,57,Warren,5184943428,43.67568,-73.75128,"{'longitude': '-73.75128', 'latitude': '43.67568'}",2183,802,832
HORNBY FIRE DEPARTMENT,51022,5492 MONTEREY RD,BEAVER DAMS,NY,14812,51,Steuben,6079622551,42.17081,-77.12374,"{'longitude': '-77.12374', 'latitude': '42.17081'}",2178,56,39
HORNELL FIRE DEPARTMENT,51023,110 BROADWAY,HORNELL,NY,14843,51,Steuben,6073242100,42.324623,-77.661369,"{'longitude': '-77.661369', 'latitude': '42.324623'}",2178,1782,34
HORSEHEADS FIRE DEPARTMENT,08010,134 N MAIN STREET,HORSEHEADS,NY,14845,08,Chemung,6077395045,42.169087,-76.822292,"{'longitude': '-76.822292', 'latitude': '42.169087'}",2036,1783,481
HORTONVILLE VOLUNTEER FIRE CO,53010,100 MAIN STREET PO BOX 71,HORTONVILLE,NY,12745,53,Sullivan,8458875177,41.78201,-75.02076,"{'longitude': '-75.02076', 'latitude': '41.78201'}",2180,1054,678
HOUGHTON FIRE DEPARTMENT,02018,9750 STATE RT 19 PO BOX 96,HOUGHTON,NY,14744,02,Allegany,5855678229,42.424165,-78.155972,"{'longitude': '-78.155972', 'latitude': '42.424165'}",2031,1722,468
HOWARD FIRE DEPARTMENT,51024,3622 CO RTE 70,AVOCA,NY,14809,51,Steuben,6075662426,42.40743,-77.42111,"{'longitude': '-77.42111', 'latitude': '42.40743'}",2178,1756,52
HOWELLS FIRE DEPARTMENT,36021,PO BOX 115,HOWELLS,NY,10932,36,Orange,9143862000,41.479697,-74.466889,"{'longitude': '-74.466889', 'latitude': '41.479697'}",2134,1540,887
HOWLETT HILL FIRE DEPARTMENT,34019,3384 HOWLETT HILL ROAD,SYRACUSE,NY,13215,34,Onondaga,3156731817,42.98659,-76.26076,"{'longitude': '-76.26076', 'latitude': '42.98659'}",2132,732,707
HUBBARDSVILLE FIRE DEPARTMENT,27012,PO BOX 847,HUBBARDSVILLE,NY,13355,27,Madison,3156912727,42.81489,-75.42527,"{'longitude': '-75.42527', 'latitude': '42.81489'}",2092,563,178
HUDSON FALLS FIRE DEPT,58013,220 MAIN STREET,HUDSON FALLS,NY,12839,58,Washington,5187474412,43.303517,-73.584685,"{'longitude': '-73.584685', 'latitude': '43.303517'}",2184,101,733
HUDSON FIRE DEPARTMENT,11017,520 WARREN STREET,HUDSON,NY,12534,11,Columbia,5188229752,42.24822,-73.77092,"{'longitude': '-73.77092', 'latitude': '42.24822'}",619,977,515
HUGHSONVILLE FIRE DEPARTMENT,14013,88 OLD HOPEWLL RD PO BX 545,HUGHSONVILLE,NY,12537,14,Dutchess,8452973735,41.57888,-73.91097,"{'longitude': '-73.91097', 'latitude': '41.57888'}",2040,1018,608
HUGUENOT FIRE DEPARTMENT,36052,BOX 195 ROUTE 209,HUGUENOT,NY,12746,36,Orange,9148561606,41.419736,-74.630281,"{'longitude': '-74.630281', 'latitude': '41.419736'}",2134,1055,878
